x1,y1,x2,y2,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,x10,y10
-0.483874,0.00568256,-0.263769,0.0787304,-0.181045,0.0859752,0.351797,0.0527745,0.379694,0.051536,0.364205,-0.0375491,0.317785,-0.0372241,0.00774339,-0.0673927,-0.194677,-0.0730172,-0.297859,-0.0595156
-0.484563,0.00858058,-0.275438,0.0769274,-0.180736,0.0851659,0.341828,0.0515359,0.382899,0.0510278,0.371994,-0.0358799,0.318795,-0.0355734,0.00584511,-0.0758415,-0.202734,-0.0700667,-0.27789,-0.055876
-0.464437,-0.00802602,-0.279643,0.0817279,-0.18441,0.0981494,0.346334,0.0495303,0.382905,0.0503392,0.378112,-0.0382665,0.31568,-0.0395391,-0.00438564,-0.0705231,-0.191728,-0.0683324,-0.298428,-0.0550597
-0.477131,-0.00467499,-0.28867,0.0767737,-0.177942,0.0880298,0.338312,0.0463134,0.373354,0.0486896,0.377108,-0.0367212,0.327706,-0.0417507,0.00965171,-0.0648357,-0.187917,-0.0611082,-0.294473,-0.0507157
-0.495721,0.0297069,-0.270324,0.0750759,-0.180882,0.0795456,0.34072,0.053486,0.373777,0.0497988,0.366303,-0.0334045,0.328658,-0.033823,0.00787507,-0.0701158,-0.196731,-0.083975,-0.273676,-0.0662948
-0.461192,0.0058115,-0.295424,0.0657439,-0.185152,0.0868046,0.347362,0.0480249,0.374622,0.0452538,0.369355,-0.0342623,0.331156,-0.0352417,0.0142233,-0.0708874,-0.192751,-0.0627892,-0.302198,-0.0484582
-0.479702,0.00591083,-0.278016,0.0580509,-0.183972,0.0851187,0.35426,0.0467856,0.386863,0.0451496,0.356761,-0.0335595,0.326082,-0.0368978,0.0044545,-0.0551073,-0.196409,-0.0614679,-0.290321,-0.0539832
-0.458659,0.00899711,-0.291837,0.0681875,-0.170776,0.0823115,0.35392,0.0511015,0.385596,0.0482559,0.356373,-0.0335293,0.325348,-0.0347846,0.0129351,-0.0658768,-0.202903,-0.0716968,-0.309999,-0.052966
-0.46741,0.00235936,-0.300511,0.0696769,-0.140469,0.0871044,0.343354,0.0540678,0.376721,0.0505842,0.376129,-0.0353971,0.328044,-0.0381345,-0.0143327,-0.0689898,-0.207428,-0.0683567,-0.294096,-0.0529146
-0.494384,-0.0153939,-0.281667,0.0760981,-0.14215,0.0942009,0.343079,0.0459378,0.385936,0.0481608,0.361359,-0.0349404,0.321657,-0.0374542,-0.00820859,-0.0636497,-0.192981,-0.0590892,-0.292641,-0.0538703
